title,genre,rating,releaseYear
Inception,Science Fiction,8.8,2010
The Shawshank Redemption,Drama,9.3,1994
The Dark Knight,Action,9,2008
Pulp Fiction,Crime,8.9,1994
The Godfather,Crime,9.2,1972
Fight Club,Drama,8.8,1999
Forrest Gump,Drama,8.8,1994
The Matrix,Science Fiction,8.7,1999
Gladiator,Action,8.5,2000
Avatar,Science Fiction,7.8,2009
